City,Country,Max Temp,Lat,Lng,Hotel Name
Ishigaki,JP,78.8,24.34,124.16,Hotel Peace Land Ishigakijima
Castro,BR,52.56,-24.79,-50.01,CHACARA BAILLY
Teya,RU,68.5,60.38,92.63,
Fort Nelson,CA,53.6,58.81,-122.7,The Fort Nelson Hotel
Egvekinot,RU,32.65,66.32,-179.17,
Atuona,PF,81.14,-9.8,-139.03,Villa Enata
Albany,US,45.0,42.6,-73.97,
Yaan,NG,75.16,7.38,8.57,
Victoria,HK,89.6,22.29,114.16,Mini Hotel Central
Bethel,US,53.6,41.37,-73.41,Courtyard by Marriott Danbury
Puerto Ayora,EC,75.99,-0.74,-90.35,Finch Bay Galapagos Hotel
Barybino,RU,55.4,55.27,37.89,An oasis in the woods
Vaini,TO,78.8,-21.2,-175.2,Keleti Beach Resort
Worland,US,46.99,44.02,-107.96,Town House Motor Inn
Chokurdakh,RU,33.21,70.63,147.92,
Port Alfred,ZA,63.0,-33.59,26.89,The Halyards Hotel
Rikitea,PF,75.2,-23.12,-134.97,Pension Maro'i
New Norfolk,AU,57.99,-42.78,147.06,The Shingles Riverside Cottages
Kapaa,US,75.2,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
Barrow,US,35.6,71.29,-156.79,King Eider Inn
Bambous Virieux,MU,73.4,-20.34,57.76,Casa Tia Villa
Norman Wells,CA,57.2,65.28,-126.83,Heritage Hotel
Hermanus,ZA,53.01,-34.42,19.23,Misty Waves Boutique Hotel
Carson City,US,66.2,39.16,-119.77,Courtyard by Marriott Carson City
Benjamin Constant,BR,77.0,-4.38,-70.03,CASA AVALIADA
Mancio Lima,BR,73.54,-7.61,-72.9,Hotel e Distribuidora Voyage
Bredasdorp,ZA,59.0,-34.53,20.04,Bredasdorp Country Manor
San Quintin,MX,63.0,30.48,-115.95,Old Mill Hotel
Vila Velha,BR,66.0,-20.33,-40.29,Hotel Vitória Palace
Ushuaia,AR,42.8,-54.8,-68.3,Albatros Hotel
Chuy,UY,64.99,-33.7,-53.46,Nuevo Hotel Plaza
Emerald,AU,73.99,-23.53,148.17,The Irish Village
Betare Oya,CM,67.14,5.6,14.08,
Hami,CN,74.34,42.8,93.45,Laoyutang Resort
Port Elizabeth,ZA,57.2,-33.92,25.57,39 On Nile Guest House
Turayf,SA,60.8,31.67,38.66,Swiss Spirit Hotel & Suites Turaif
Aguas Verdes,PE,75.65,-3.48,-80.25,hotel casino mr money
Jamestown,US,46.0,42.1,-79.24,Hampton Inn & Suites Jamestown
Malatya,TR,53.6,38.5,38.0,
Katsuura,JP,82.0,35.13,140.3,Katsuura Hotel Mikazuki
Ekibastuz,KZ,74.52,51.67,75.37,
Gorontalo,ID,90.55,0.54,123.06,Maqna Hotel by Prasanthi
Busselton,AU,71.01,-33.65,115.33,Observatory Guest House
Evora,PT,57.2,38.57,-7.9,Hotel M'Ar de Ar Muralhas
Amudat,UG,67.24,1.95,34.95,Silent Night Hotel
Ribeira Grande,PT,57.81,38.52,-28.7,Quinta da Meia Eira
Shimoda,JP,75.2,34.67,138.95,Hotel Izukyu
Bataipora,BR,66.27,-22.3,-53.27,Hotel Vale do Ivinhema
Nicoya,CR,73.99,10.15,-85.45,Guayacan Real
Luderitz,,60.8,-26.65,15.16,LÜDERITZ NEST HOTEL
Birao,CF,77.27,10.28,22.79,
Codrington,AU,62.13,-38.27,141.97,Codrington Gardens Bed And Breakfast
Lebu,CL,52.11,-37.62,-73.65,Hostal Las Lilas
Pathein,MM,98.37,16.78,94.73,Pathein Hotel
Cape Town,ZA,61.0,-33.93,18.42,Southern Sun Waterfront Cape Town
Vila Franca Do Campo,PT,57.2,37.72,-25.43,Pestana Bahia Praia
Tadine,NC,72.95,-21.55,167.88,
Wasseiges,BE,43.0,50.62,5.01,Moulin de Meeffe
Kaitangata,NZ,53.01,-46.28,169.85,Kaitangata Motor Camp
Paamiut,GL,41.36,61.99,-49.67,Yeet Hotel
Nusaybin,TR,46.4,37.08,41.22,Aydinlar Hotel
Port Hardy,CA,64.4,50.7,-127.42,Airport Inn
Lorica,CO,80.4,9.24,-75.81,Onoma Hotel
Saint-Joseph,RE,72.0,-21.37,55.62,"""Plantation Bed and Breakfast"
Labuhan,ID,85.26,-6.88,112.21,bador sepret
Klaksvik,FO,33.8,62.23,-6.59,Airbnb rooms
Lorengau,PG,85.06,-2.02,147.27,Lorengau Harbourside Hotel
Guerrero Negro,MX,63.0,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
Mar Del Plata,AR,55.99,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
Soyo,AO,78.15,-6.13,12.37,Hotel Mpampa
Cabo San Lucas,MX,72.0,22.89,-109.91,Hotel Tesoro Los Cabos
Sesheke,ZM,48.2,-17.48,24.3,Protea Hotel by Marriott Zambezi River Lodge
Arak,IR,57.2,34.09,49.69,Zagros Hotel
