City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Thompson,55.74,-97.86,42.8,87,90,5.82,CA,2020-04-27 02:59:00
1,Papara,-3.98,-38.73,78.8,88,75,4.7,BR,2020-04-27 02:59:00
2,Saskylakh,71.92,114.08,22.44,95,100,10.0,RU,2020-04-27 02:59:00
3,Port Alfred,-33.59,26.89,66.0,83,100,5.01,ZA,2020-04-27 02:54:05
4,Yellowknife,62.46,-114.35,21.2,31,20,5.82,CA,2020-04-27 02:59:01
5,Albany,42.6,-73.97,39.2,86,90,11.41,US,2020-04-27 02:59:01
6,Samdari,25.82,72.58,86.38,40,0,10.51,IN,2020-04-27 02:59:01
7,Umm Kaddadah,13.6,26.69,78.08,17,36,10.71,SD,2020-04-27 02:59:02
8,Sao Desiderio,-12.36,-44.97,66.92,78,1,3.31,BR,2020-04-27 02:59:02
9,Berlevag,70.86,29.09,30.51,96,100,19.64,NO,2020-04-27 02:59:02
10,Port Elizabeth,-33.92,25.57,66.2,77,100,14.99,ZA,2020-04-27 02:59:02
11,Jamestown,42.1,-79.24,39.0,93,90,12.75,US,2020-04-27 02:59:02
12,Guapiles,10.22,-83.79,73.4,69,59,6.93,CR,2020-04-27 02:55:44
13,Rikitea,-23.12,-134.97,75.34,80,6,16.26,PF,2020-04-27 02:59:03
14,Kapaa,22.08,-159.32,80.6,61,20,13.87,US,2020-04-27 02:59:03
15,Sioux Lookout,50.1,-91.92,50.0,29,40,8.05,CA,2020-04-27 02:59:03
16,Chapais,49.78,-74.85,28.4,50,1,8.05,CA,2020-04-27 02:59:04
17,San Isidro,-12.12,-77.05,69.8,77,83,11.41,PE,2020-04-27 02:59:04
18,Barrow,71.29,-156.79,15.8,78,90,16.11,US,2020-04-27 02:59:05
19,Hambantota,6.12,81.12,84.38,73,32,5.7,LK,2020-04-27 02:59:05
20,Lorengau,-2.02,147.27,86.13,70,64,5.79,PG,2020-04-27 02:59:05
21,Perez,-33.0,-60.77,69.01,77,40,11.41,AR,2020-04-27 02:59:05
22,Vaini,-21.2,-175.2,75.2,88,90,11.41,TO,2020-04-27 02:59:06
23,Mataura,-46.19,168.86,55.99,78,66,11.01,NZ,2020-04-27 02:59:06
24,Dourados,-22.22,-54.81,69.22,62,0,6.02,BR,2020-04-27 02:59:06
25,Provideniya,64.38,-173.3,23.0,73,100,8.95,RU,2020-04-27 02:59:06
26,Palmer,42.16,-72.33,42.01,93,90,12.75,US,2020-04-27 02:59:07
27,East London,-33.02,27.91,66.2,81,74,17.34,ZA,2020-04-27 02:59:07
28,Chicama,-7.84,-79.15,72.19,68,16,6.89,PE,2020-04-27 02:59:07
29,Busselton,-33.65,115.33,68.0,48,1,7.14,AU,2020-04-27 02:59:07
30,Bethel,41.37,-73.41,42.01,93,90,12.75,US,2020-04-27 02:59:08
31,Luba,3.46,8.55,77.0,100,20,6.93,GQ,2020-04-27 02:59:08
32,Airai,-8.93,125.41,72.05,44,29,3.24,TL,2020-04-27 02:59:08
33,New Norfolk,-42.78,147.06,64.0,67,100,3.0,AU,2020-04-27 02:59:08
34,Lingyuan,41.24,119.4,62.82,21,0,12.21,CN,2020-04-27 02:59:09
35,Ushuaia,-54.8,-68.3,39.2,69,67,11.41,AR,2020-04-27 02:59:09
36,Gurupi,-11.73,-49.07,71.62,80,0,3.78,BR,2020-04-27 02:59:09
37,Castro,-24.79,-50.01,59.05,53,14,6.44,BR,2020-04-27 02:59:09
38,Amahai,-3.33,128.92,84.81,69,85,3.33,ID,2020-04-27 02:59:10
39,Marsabit,2.33,37.99,65.17,69,3,16.04,KE,2020-04-27 02:59:10
40,Nyurba,63.28,118.33,37.54,72,93,10.22,RU,2020-04-27 02:59:10
41,Camacha,33.08,-16.33,62.6,77,75,10.29,PT,2020-04-27 02:59:10
42,Iqaluit,63.75,-68.51,21.2,79,75,11.41,CA,2020-04-27 02:59:10
43,Kavaratti,10.57,72.64,85.51,73,65,9.62,IN,2020-04-27 02:59:11
44,Georgetown,5.41,100.34,84.2,83,20,6.93,MY,2020-04-27 02:59:11
45,Arraial Do Cabo,-22.97,-42.03,75.11,75,0,9.93,BR,2020-04-27 02:57:50
46,Mar Del Plata,-38.0,-57.56,62.01,77,71,11.41,AR,2020-04-27 02:59:11
47,Nuuk,64.18,-51.72,33.8,86,75,2.24,GL,2020-04-27 02:59:11
48,Adrar,20.5,-10.07,76.19,17,0,10.04,MR,2020-04-27 02:59:12
49,Ribeira Grande,38.52,-28.7,57.52,65,100,8.01,PT,2020-04-27 02:59:12
50,Bluff,-46.6,168.33,55.99,78,18,11.01,NZ,2020-04-27 02:59:12
51,Kaitangata,-46.28,169.85,59.0,57,80,10.0,NZ,2020-04-27 02:59:12
52,Atuona,-9.8,-139.03,82.54,75,7,17.13,PF,2020-04-27 02:59:13
53,Constitucion,-35.33,-72.42,58.55,85,96,9.35,CL,2020-04-27 02:54:24
54,Puerto Ayora,-0.74,-90.35,78.01,86,16,7.0,EC,2020-04-27 02:59:13
55,Saint Michael,45.21,-93.67,57.99,54,1,8.75,US,2020-04-27 02:59:13
56,Krasnoselkup,65.7,82.47,31.77,99,100,10.76,RU,2020-04-27 02:59:14
57,Coswig,51.13,13.58,45.0,75,0,2.24,DE,2020-04-27 02:59:14
58,Torbay,47.67,-52.73,36.0,55,20,9.17,CA,2020-04-27 02:59:14
59,Bilma,18.69,12.92,86.85,11,9,8.43,NE,2020-04-27 02:59:14
